num_gpus,arrival_rate,avg_queries_in_system,throughput,tbt,tfft,tbt95,tfft95,Mode,,chunk_size,throughput,p95_tbt,p95_ttft,Mode
2,16.05,Not Measured,13.35510979,0.070056426,0.120291125,21.42866609,34.29632996,Batch,,,,,,
2,20.05,Not Measured,13.75812156,0.068507111,0.116983839,40.75477892,74.57984138,Batch,,,,,,
2,24.05,Not Measured,13.69456849,0.068566566,0.116813177,51.39433873,97.41778002,Batch,,,,,,
2,28.05,Not Measured,13.72058337,0.069057673,0.116848256,64.22417536,121.7454691,Batch,,,,,,
4,0.05,Not Measured,0.047477865,0.008773673,0.008755,0.031575214,0.100276188,Batch,,,,,,
4,4.05,Not Measured,3.767993395,0.010022075,0.015631755,0.038183983,0.107033088,Batch,,,,,,
4,8.05,Not Measured,7.595217234,0.012330924,0.025911836,0.049306609,0.131042432,Batch,,,,,,
4,12.05,Not Measured,11.07469968,0.014720733,0.035784235,0.058987322,0.187093007,Batch,,,,,,
4,16.05,Not Measured,14.9550682,0.017519026,0.043361302,0.076359295,0.213137469,Batch,,,,,,
4,20.05,Not Measured,18.56534354,0.020433514,0.048390057,0.097656833,0.275837483,Batch,,,,,,
4,24.05,Not Measured,22.682963,0.02670595,0.056815047,0.206904721,0.645897794,Batch,,,,,,
4,28.05,Not Measured,25.90316812,0.032118398,0.05902169,1.117570983,3.609719379,Batch,,,,,,
